# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"401540990","2023","1","regular","2023-08-31T22:00:00.000Z","false","true","false","false","","6060","Grace P. Johnson Stadium","2882","UNC Pembroke","Mountain East","ii","19","","","","","2220","Fayetteville State","CIAA","ii","17","","","","","","",""
"401541838","2023","1","regular","2023-08-31T22:00:00.000Z","false","true","false","false","","7075","Electric Supply Company Field","122666","Barton College","South Atlantic","ii","41","","","","","2804","Chowan","Gulf South","ii","0","","","","","","",""
"401544917","2023","1","regular","2023-08-31T22:00:00.000Z","false","true","false","false","","5781","Irwin Belk Stadium","351","Wingate","South Atlantic","ii","30","","","","","2013","Albany State (GA)","SIAC","ii","7","","","","","","",""
"401541881","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","5888","University Stadium (GA)","2698","West Georgia","Gulf South","ii","21","","","","","2336","Limestone","South Atlantic","ii","19","","","","","","",""
"401541801","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","4433","George P. Miller Stadium","2291","Indiana (PA)","Pennsylvania State Athletic","ii","24","","","","","308","Ashland","Great Midwest Athletic","ii","17","","","","","","",""
"401541787","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","5891","Wilkins Stadium","2568","Southern Arkansas","Great American","ii","34","","","","","199","Southeastern Oklahoma","Great American","ii","19","","","","","","",""
"401541782","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","true","","6073","Milam Stadium","2927","Southwestern Oklahoma","Great American","ii","14","","","","","2888","Ouachita Baptist","Great American","ii","38","","","","","","",""
"401540794","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","6051","James S. Malosky Stadium","134","Minnesota-Duluth","Northern Sun","ii","47","","","","","128","Northern Michigan","GLIAC","ii","10","","","","","","",""
"401541001","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","5943","Duvall-Rosier Field","2986","Fairmont State","Mountain East","ii","34","","","","","2071","Bloomsburg","Pennsylvania State Athletic","ii","30","","","","","","",""
"401541012","2023","1","regular","2023-08-31T23:00:00.000Z","false","true","false","false","","5121","University of Charleston Stadium","2128","Charleston (WV)","Mountain East","ii","22","","","","","367","Gannon","Pennsylvania State Athletic","ii","13","","","","","","",""
