Team,Wins,Losses,Distribution
Endicott College,9,1,0.004109760430431801
Georgia Tech,6,6,0.004109540154832544
Defiance,4,6,0.004107168447349615
Concordia (IL),1,9,0.004081616746701107
Bluffton,4,6,0.004069042026248925
Washington & Lee,8,2,0.0040629367539083165
Tulsa,4,8,0.004052285660556107
Utah State,6,6,0.004051578624433972
Boston College,6,6,0.004038215226843027
Lebanon Valley,6,4,0.004036441616874999
McDaniel College,0,10,0.004017854927893953
San José State,7,5,0.00399949194187556
Boise State,8,5,0.003991390591673791
Virginia Tech,6,6,0.003991140882223928
Southern Virginia,1,9,0.003983393094738325
Hanover,7,3,0.003970481411020763
Rose-Hulman,7,3,0.003969115099280724
Lake Forest,7,3,0.003945598456693965
Alfred,4,6,0.003941406427518155
Augustana (IL),8,2,0.0038930178821163755
St. John Fisher,5,5,0.003881966350036024
Utica,8,2,0.0038639811590445846
Toledo,11,2,0.0038594252607419546
Keystone,2,8,0.003855096293723351
North Texas,5,7,0.003850496846646371
UNLV,9,4,0.0038375987668235493
Colorado State,5,7,0.0038327673577676505
Concordia (WI),7,3,0.0038278379566103328
New Mexico State,10,4,0.003820749452321837
UT San Antonio,8,4,0.003815726115199544
Coastal Carolina,7,5,0.003810229704576698
New Mexico,4,8,0.003775857249092223
Brockport State (NY),8,2,0.0037643169659886317
Wilkes,4,6,0.003758925366416049
Shenandoah,5,5,0.0037562789006019377
South Florida,6,6,0.0037546540258930716
Alfred State College,6,4,0.003739937232338208
Hawai'i,5,8,0.0037261848262338244
Kalamazoo,5,5,0.0037023823110032255
Fresno State,8,4,0.00368636134919327
Appalachian State,8,5,0.0036807546670640477
FDU-Florham,5,5,0.0036795889652205087
Cornell College (IA),6,4,0.0036752505349457827
Charlotte,3,9,0.003673538432504488
Wooster,4,6,0.0036702679859951437
Millikin,0,10,0.0036688230001076954
Liberty,13,0,0.0036529492161974
Maryville TN,8,2,0.003637529249771457
San Diego State,4,8,0.0036335117381926935
California,6,6,0.003627295810380452
Air Force,8,4,0.0036230683671646946
LaGrange College,0,9,0.0036061568673519733
St. Norbert,7,3,0.0036051264393434598
Nevada,2,10,0.0036045687990037935
Baldwin-Wallace,6,4,0.003600182161297868
Albion,7,3,0.003596968641294745
Moravian,4,6,0.0035912772840850948
UAB,4,8,0.0035879010464616506
Florida Atlantic,4,8,0.003566558492669732
Oberlin,1,9,0.003566529339174634
King's College (PA),8,2,0.003563329926511683
Stevenson,7,3,0.0035539769851620985
Chicago,6,4,0.0035494814789408125
Jacksonville State,8,4,0.0035487104122221428
Alma College,10,0,0.003544222222139571
Franklin,4,6,0.003543427070808124
Ferrum,3,7,0.003532440490027054
NC Wesleyan,4,6,0.003522387510820223
Anna Maria College,5,4,0.003521907851485119
Framingham State,4,4,0.003518055510885812
